DWT_LSUCNT,DWT_CPICNT,DWT_EXCCNT,DWT_CYCCNT,DWT_SLEEPCNT,DWT_FOLDCNT,LSU_stim,CPI_stim,FLD_stim,EXC_stim,LEGIT,TIME,METADATA,,,,,,,,,,
7615290,8078037,11016,230077746,0,2560079,183676,68303,86946,276410,0,2091,,,,,,,,,,,
5701708,6333510,10135,177768500,0,1955696,0,0,284102,142893,0,1616,,,,,,,,,,,
4444041,4755020,8799,100291008,0,1352317,0,24116,0,89783,0,911,,,,,,,,,,,
6682132,7286104,13354,195512923,0,2784275,0,0,117797,301262,1,1777,,,,,,,,,,,
8231934,9273251,13371,290086516,0,3189517,13480,182595,317693,342687,0,2637,,,,,,,,,,,
6275767,6957903,12998,237878780,0,1362991,100807,306105,234681,52153,0,2162,,,,,,,,,,,
7067026,7871983,12930,227543539,0,2723235,0,88150,242674,277548,0,2068,,,,,,,,,,,
7575137,8361511,14770,245972888,0,2677717,40089,303400,30320,305238,0,2236,,,,,,,,,,,
6192067,6278665,11238,201207990,0,814806,326841,219299,0,0,0,1829,,,,,,,,,,,
4417750,4916800,7666,137864505,0,1101834,0,0,288461,0,0,1253,,,,,,,,,,,
6765291,7091378,12882,200140611,0,2054426,187425,0,137443,183622,0,1819,,,,,,,,,,,
6031040,6822696,12398,232248739,0,1469927,39254,253509,322857,55287,0,2111,,,,,,,,,,,
4519015,4937311,8143,137193508,0,1063554,34859,0,250070,0,0,1247,,,,,,,,,,,
6527317,7508470,12095,272693931,0,1776007,0,345348,340181,96156,1,2479,,,,,,,,,,,
9227176,9850329,13787,308993058,0,3180784,259198,52316,267920,349494,0,2809,,,,,,,,,,,
6333766,6749273,9958,208267332,0,1422956,177123,240892,49141,93255,0,1893,,,,,,,,,,,
6207953,6730751,10055,176372411,0,2180229,44259,73068,73157,215480,0,1603,,,,,,,,,,,
8391940,9109629,14971,307863446,0,2464316,214297,184731,332457,219274,0,2798,,,,,,,,,,,
6288496,6650424,9583,166140899,0,2150798,103805,33963,0,222787,0,1510,,,,,,,,,,,
5389311,5989173,8845,192665606,0,1147549,62705,207415,224013,18267,0,1751,,,,,,,,,,,
5340677,5863249,9084,189214902,0,1055613,93239,165999,241706,0,0,1720,,,,,,,,,,,
4631765,4898180,7198,131253508,0,813127,100261,158494,0,0,0,1193,,,,,,,,,,,
5424367,5909144,9448,201205800,0,982369,109016,266618,124122,0,1,1829,,,,,,,,,,,
5009504,5524024,8012,145876190,0,1356030,0,213697,0,90434,0,1326,,,,,,,,,,,
3752177,4007314,8223,83667885,0,875597,0,0,62140,0,0,760,,,,,,,,,,,
4704010,4860358,7764,117557556,0,1049476,122427,0,39431,32791,0,1068,,,,,,,,,,,
6923086,7486265,10668,212589355,0,2219037,99467,218835,0,234088,0,1932,,,,,,,,,,,
8080121,8308762,11700,240806839,0,2388799,321308,76426,0,262301,0,2189,,,,,,,,,,,
3948227,4131829,6925,88355630,0,825862,50758,16972,12921,0,0,803,,,,,,,,,,,
4014234,4351009,9150,104176125,0,961509,0,0,147781,0,0,947,,,,,,,,,,,
3858899,4159287,7275,92784423,0,913378,0,0,100210,0,0,843,,,,,,,,,,,
4223545,4318002,6873,96136685,0,812972,111867,0,0,0,0,874,,,,,,,,,,,
5961684,6559714,9426,211823819,0,1339215,98717,258724,166248,59795,0,1925,,,,,,,,,,,
7136225,8040895,11512,246488306,0,2431376,0,321743,122321,249029,0,2240,,,,,,,,,,,
7560038,7846270,11679,219010934,0,2356310,246601,68158,0,256885,0,1991,,,,,,,,,,,
8384260,8934719,13727,277585661,0,2960416,202287,39585,194722,317721,1,2523,,,,,,,,,,,
8706409,9228636,13307,318995060,0,2067835,345348,321215,151577,183414,0,2900,,,,,,,,,,,
