DWT_LSUCNT,DWT_CPICNT,DWT_EXCCNT,DWT_CYCCNT,DWT_SLEEPCNT,DWT_FOLDCNT,LSU_stim,CPI_stim,FLD_stim,EXC_stim,LEGIT,TIME,METADATA
5592274,5863603,10517,178731141,0,1236478,80247,271488,27796,65695,0,1624,
4539056,4828419,7866,142943413,0,1004389,0,119507,190920,0,0,1299,
4294131,4494877,8059,121401009,0,856922,0,195731,20064,3902,0,1103,
5925450,5893554,10131,186692213,0,1128414,251997,0,216343,16289,0,1697,
6190820,6656435,10879,192872550,0,2226320,0,0,296345,185886,0,1753,
3884135,3958308,7871,90175143,0,813245,0,90071,0,0,0,819,
7486962,7555336,12142,203664844,0,2517380,210449,9419,0,283714,0,1851,
8041263,8362098,15219,275473412,0,2727904,168520,157975,82523,283103,1,2504,
6428871,6868253,10602,190381839,0,2376022,0,79075,147128,235777,0,1730,
7202266,7502580,12301,285776821,0,1124847,294633,296572,309518,0,0,2598,
6752822,7042589,11738,250808374,0,1282116,221131,245255,245669,36896,0,2280,
5522080,5479470,8559,157061755,0,1203810,190472,0,121282,44801,0,1427,
5077391,5348670,9395,156953715,0,1090833,34972,277995,0,46128,0,1426,
7267524,7828219,13597,221327199,0,2969211,0,0,259705,315717,0,2012,
4080863,4121121,6783,85953117,0,1108337,0,0,16816,46453,0,781,
5637288,5956010,9641,157962276,0,1926336,0,55238,119801,165442,0,1436,
7181871,7266931,11957,224331391,0,1759363,258616,188594,11533,155454,0,2039,
4057987,4189311,8012,104159524,0,813415,0,148469,0,0,0,946,
3964817,4043187,8531,105566589,0,929218,0,31598,71837,0,1,959,
6811479,6800727,11023,206167567,0,1709886,269858,0,150295,124140,0,1874,
7214334,7835695,13034,233601081,0,2558283,0,286203,68720,279004,0,2123,
4868931,5015558,8712,114876206,0,1599131,0,0,45508,123359,0,1044,
6580674,7196864,12635,228101557,0,2036649,0,287389,168482,175520,0,2073,
7825103,8418179,12896,260855742,0,2797904,66668,157545,226866,292585,0,2371,
8160506,8127533,13569,232077512,0,2513389,319961,17092,0,283024,0,2109,
5222481,5071189,9340,144010648,0,813956,225412,84754,0,0,0,1309,
5205762,5553012,8718,165449237,0,1345684,11705,167004,149056,63802,0,1504,
6587995,6618859,10760,215730457,0,1159933,276848,262822,0,57554,0,1961,
5403320,5569716,8537,169137430,0,1088487,111136,214483,46272,38078,0,1537,
7026165,7535817,11962,236750717,0,2314761,33904,316648,11800,240669,1,2152,
7635742,7769819,11954,238116737,0,2075621,254565,196355,0,210134,0,2164,
5902184,6469486,11073,212204099,0,1662922,0,179163,313838,89068,0,1929,
7839483,8111039,12370,246226034,0,2592181,199027,0,229771,257860,0,2238,
3838296,3836424,6174,82725429,0,831197,19058,21000,18502,0,0,752,
4242492,4229134,7921,102644645,0,813294,68595,72110,0,0,0,933,
6378260,7062041,12669,240203071,0,1770080,0,293958,289965,110783,0,2183,
4307215,4520204,8195,124128043,0,988101,0,57327,174529,0,0,1128,
7437730,7969220,12253,235418606,0,2699797,45519,167107,133578,291826,0,2140,
5513515,5366305,9275,158247994,0,859566,249130,110882,0,7611,0,1438,
5134533,5237805,8568,130594042,0,1448905,56857,74048,0,105861,0,1187,
4151566,4188163,8717,101408226,0,1089541,9389,30150,0,38673,1,921,
6765586,6779625,11229,196421158,0,1857121,234893,0,107335,155839,0,1785,
6826988,7325456,12166,204230803,0,2467912,0,236510,0,275467,0,1856,
6060256,6398534,10650,164543234,0,2280548,0,22005,107485,226434,0,1495,
4367294,4601306,8497,128919698,0,917796,0,147717,104146,0,0,1172,
